nrpolizza;DENOM_PRODOTTO;Cod. Agenzia;Riscatto;dtdatarif liquidato;Classificazione;Tipo_premio;Antidurata;Anno dec;IBRIDO/altro;Famiglia Prodotto;Antidurata arrotondata;Periodo di osservazione
023676383;Valore Futuro 2015;00702;183.031,77;1/11/2024;Riscatto reworkato;PU;8,586111111;2.016;di cui Ibridi;Valore Futuro;8;2.024
024578449;Smart Capital;00702;20.970,62;1/5/2024;Riscatto reworkato;PR;5,016666667;2.019;di cui Ibridi;Smart Capital;5;2.024
023558278;Valore Futuro 2015;10099;28.308,46;1/11/2024;Riscatto reworkato;PU;8,919444444;2.015;di cui Ibridi;Valore Futuro;9;2.024
024702106;Valore Euro San Giorgio;10099;10.785,51;1/11/2024;Riscatto reworkato;PU;5,027777778;2.019;di cui altro;Valore Euro San Giorgio;5;2.024
024902889;Smart EverGreen;08099;32.186,46;1/5/2024;Uscita definitiva;PR;3,675;2.020;di cui Ibridi;Smart EverGreen;4;2.024
023678881;Futuro D'Oro;02103;2.046,61;1/5/2024;Uscita definitiva;PR;8,080555556;2.016;di cui Ibridi;Futuro D'Oro;8;2.024
025267189;Smart EverGreen;02103;19.673,10;1/10/2024;Uscita definitiva;PR;2,827777778;2.021;di cui Ibridi;Smart EverGreen;3;2.024
025242756;Valore EverGreen;01800;33,18;1/11/2024;Uscita definitiva;PU;2,991666667;2.021;di cui Ibridi;Valore EverGreen;3;2.024
023972604;Valore Futuro 2015;05299;10.893,05;1/2/2024;Uscita definitiva;PU;6,877777778;2.017;di cui Ibridi;Valore Futuro;7;2.024
024998104;Valore EverGreen;05299;4.740,32;1/11/2024;Uscita definitiva;PU;3,852777778;2.020;di cui Ibridi;Valore EverGreen;4;2.024
023456509;Futuro D'Oro;14899;27.190,21;1/10/2024;Uscita definitiva;PR;9,169444444;2.015;di cui Ibridi;Futuro D'Oro;9;2.024
023794317;Extra di Alleanza;14899;16.999,40;1/10/2024;Uscita definitiva;PR;8,169444444;2.016;di cui Ibridi;Extra;8;2.024
024622774;Valore Euro San Giorgio;37518;14.595,68;1/4/2024;Uscita definitiva;PU;4,775;2.019;di cui altro;Valore Euro San Giorgio;5;2.024
025257175;AllORO 2016;05902;3.000,00;1/11/2024;Uscita definitiva;PU;2,930555556;2.021;di cui altro;AllORO;3;2.024
023923428;Capitalizza di Alleanza 2012;01802;45.140,57;1/5/2024;Uscita definitiva;PU;7,258333333;2.017;di cui altro;Capitalizza;7;2.024
022943103;NEWCAPITALL di Alleanza;08899;21.963,66;1/2/2024;Uscita definitiva;PR;10,16666667;2.013;di cui altro;Allecapital/Newcapitall;ott-15;2.024
024029433;Valore Futuro 2015;37527;2.024,05;1/5/2024;Uscita definitiva;PU;6,958333333;2.017;di cui Ibridi;Valore Futuro;7;2.024
024786189;Extra POP;04811;1.229,28;1/5/2024;Uscita definitiva;PR;4,25;2.020;di cui Ibridi;Extra;4;2.024
024529921;Reinvesto Valore;07199;32.177,32;1/3/2024;Riscatto reworkato;PU;5,025;2.019;di cui Ibridi;Valore Alleanza;5;2.024
024016077;Valore Alleanza;07399;29.259,08;1/5/2024;Riscatto reworkato;PU;7,002777778;2.017;di cui Ibridi;Valore Alleanza;7;2.024
023848369;REINVESTO Plus 2014;32299;58.708,82;1/1/2024;Riscatto reworkato;PU;7,194444444;2.016;di cui altro;Reinvesto;8;2.024
023984494;Extra di Alleanza;32299;2.414,47;1/9/2024;Riscatto reworkato;PR;7,419444444;2.017;di cui Ibridi;Extra;7;2.024
023228753;NEWCAPITALL di Alleanza;37545;48.835,11;1/11/2024;Uscita definitiva;PR;9,930555556;2.014;di cui altro;Allecapital/Newcapitall;ott-15;2.024
025279077;Valore EverGreen;37545;47.591,23;1/11/2024;Uscita definitiva;PU;2,855555556;2.021;di cui Ibridi;Valore EverGreen;3;2.024
023729468;Extra di Alleanza;00402;11.113,45;1/3/2024;Uscita definitiva;PR;7,761111111;2.016;di cui Ibridi;Extra;8;2.024
023979346;Valore Futuro 2015;21099;35.525,02;1/12/2024;Uscita definitiva;PU;7,672222222;2.017;di cui Ibridi;Valore Futuro;7;2.024
